BeginString	Version of FIX this session should use	FIX.4.4 FIX.4.3 FIX.4.2 FIX.4.1 FIX.4.0 FIXT.1.1 (which then requires DefaultApplVerID, see below)	
SenderCompID	Your compID as associated with this FIX session	case-sensitive alpha-numeric string	
SenderSubID	(Optional) Your subID as associated with this FIX session	case-sensitive alpha-numeric string	
SenderLocationID	(Optional) Your locationID as associated with this FIX session	case-sensitive alpha-numeric string	
TargetCompID	Counterparty's compID as associated with this FIX session	case-sensitive alpha-numeric string	
TargetSubID	(Optional) Counterparty's subID as associated with this FIX session	case-sensitive alpha-numeric string	
TargetLocationID	(Optional) Counterparty's locationID as associated with this FIX session	case-sensitive alpha-numeric string	
DefaultApplVerID	Required only for FIXT 1.1 (and newer). Ignored for earlier transport versions. Specifies the default application version ID for the session. This can either be the ApplVerID enum (see the ApplVerID field) the beginString for the default version.	String. Examples: # Enum. FIX 5.0 over FIXT 1.1 DefaultApplVerID=7 # BeginString: FIX 5.0 over FIXT 1.1 DefaultApplVerID=FIX.5.0 # BeginString: FIX 4.2 over FIXT 1.1 DefaultApplVerID=FIX.4.2	No default. Required for FIXT 1.1
ConnectionType	Defines if session will act as an acceptor or an initiator	initiator acceptor	
TimeZone	Time zone for this session; if specified, the session start and end will be converted from this zone to UTC.	Time zone ID (America/New_York, Asia/Tokyo, Europe/London, etc.)	
StartTime	Time of day that this FIX session becomes activated	time in the format of HH:MM:SS [timezone]. The time zone is optional. The TimeZone setting will be used, if set, or UTC will be used by default. The timezone string should be one that the Java TimeZone class can resolve. For example, "15:00:00 US/Central".	
EndTime	Time of day that this FIX session becomes deactivated	time in the format of HH:MM:SS [timezone]. The time zone is optional. The TimeZone setting will be used, if set, or UTC will be used by default. The timezone string should be one that the Java TimeZone class can resolve. For example, "09:00:00 US/Eastern".	
StartDay	For week long sessions, the starting day of week for the session. Use in combination with StartTime. Incompatible with Weekdays	Day of week in the default locale (e.g. Monday, mon, lundi, lun. etc.)	
EndDay	For week long sessions, the ending day of week for the session. Use in combination with EndTime. Incompatible with Weekdays	Day of week in the default locale (e.g. Monday, mon, lundi, lun. etc.)	
Weekdays	For daily sessions that are active on specific days of the week. Use in combination with StartTime and EndTime. Incompatible with StartDay and EndDay. If StartTime is before EndTime then the day corresponds to the StartTime.	Comma-delimited list of days of the week in the default locale (e.g. "Sun,Mon,Tue", "Dimanche,Lundi,Mardi" etc.)	
NonStopSession	If set the session will never reset. This is effectively the same as setting 00:00:00 as StartTime and EndTime.	Y N	N
TimeStampPrecision	Determines precision for timestamps in (Orig)SendingTime fields. Only available for FIX.4.2 and greater. NB: This configuration is only considered for messages that are sent out. QuickFIX/J is able to receive UtcTimestamp fields with up to picosecond precision. Please note however that only up to nanosecond precision will be stored, i.e. the picoseconds will be truncated.	One of SECONDS MILLIS MICROS NANOS	MILLIS
ClosedResendInterval	Use actual end of sequence gap for resend requests rather than using "infinity" as the end sequence of the gap. Not recommended by the FIX specification, but needed for some counterparties.	Y N	N
UseDataDictionary	Tell session whether or not to expect a data dictionary. You should always use a DataDictionary if you are using repeating groups.	Y N	Y
DataDictionary	XML definition file for validating incoming FIX messages. If no DataDictionary is supplied, only basic message validation will be done This setting should only be used with FIX transport versions old than FIXT 1.1. See TransportDataDictionary and ApplicationDataDictionary for FIXT 1.1 settings.	Valid XML data dictionary file, QuickFIX/J comes with the following defaults in the etc directory: FIXT11.xml, FIX50.xml, FIX44.xml, FIX43.xml, FIX42.xml, FIX41.xml, FIX40.xml.	If DataDictionary is not specified and UseDataDictionary=Y, then QuickFIX/J will look for a default dictionary based on the session's BeginString (e.g., FIX.4.2 = FIX42.xml). The DataDictionary file search strategy is to use a URL, then the file system, and then the thread context classloader (if any), and then the DataDictionary instance's classloader. Default data dictionary files are included in the QuickFIX/J jar file.
TransportDataDictionary	Valid XML data dictionary file path.	If no dictionary path is supplied, an attempt will be made to load a default transport dictionary.	
AppDataDictionary	Valid XML data dictionary file path.	If no dictionary path is supplied, an attempt will be made to load a dictionary using the DefaultApplVerID for the session.	
